FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkW-yyyy-Xn-XX-FR-HG;Hydr. Sys. Mechanical Brake;0000;16;1650;;FL_HYDRSYS;FL00000W
kkW-yyyy-Xn-XX-FR-BP;Break pads;0000;16;1650;;FL_COU&BRA;FL00000W
kkW-yyyy-Xn-XX-FR-FS;Frame system;0000;16;1650;;FL_COU&BRA;FL00000W
kkW-yyyy-Xn-XX-SI;Yaw System;0000;16;1640;;FL_YAWSYST;FL00000W
kkW-yyyy-Xn-XX-SI-HG;Hydr. Sys. Yaw Brake;0000;16;1650;;FL_HYDRSYS;FL00000W
kkW-yyyy-Xn-XX-SI-RI;Yaw Gears;0000;16;1640;;FL_YAWSYST;FL00000W
kkW-yyyy-Xn-XX-SI-FE;Yaw Brakes;0000;16;1640;;FL_YAWSYST;FL00000W
kkW-yyyy-Xn-XX-SI-ME;Yaw Electric Motors;0000;16;1640;;FL_ELESYST;FL00000W
kkW-yyyy-Xn-XX-SI-GR;Grease system;0000;16;1640;;FL_YAWSYST;FL00000W
kkW-yyyy-Xn-XX-GE;Generator;0000;16;1640;;FL_GENERAT;FL00000W
kkW-yyyy-Xn-XX-GE-RF;Generator Cooling System;0000;16;1640;;FL_GENERAT;FL00000W
kkW-yyyy-Xn-XX-GE-CU;Generator Bearings;0000;16;1640;;FL_GENERAT;FL00000W
kkW-yyyy-Xn-XX-GE-GS;Slip Ring Set;0000;16;1640;;FL_GENERAT;FL00000W
kkW-yyyy-Xn-XX-GE-CP;Power Control Devices;0000;16;1640;;FL_GENERAT;FL00000W
kkW-yyyy-Xn-XX-GE-ES;Electronic & Signals;0000;16;1640;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-GE-MM;Generator Mechanical Parts;0000;16;1640;;FL_GENERAT;FL00000W
kkW-yyyy-Xn-XX-GE-GR;Grease system;0000;16;1640;;FL_GENERAT;FL00000W
kkW-yyyy-Xn-XX-CF;Frequency Converters;0000;16;1650;;FL_FREQCON;FL00000W
kkW-yyyy-Xn-XX-CF-RF;Frequency Converter Cooling System;0000;16;1650;;FL_FREQCON;FL00000W
kkW-yyyy-Xn-XX-CF-ES;Electronic & Signals;0000;16;1650;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-CF-SP;Power Section and auxiliaries;0000;16;1650;;FL_ELESYST;FL00000W
kkW-yyyy-Xn-XX-CF-VD;Voltage Dips;0000;16;1650;;FL_FREQCON;FL00000W
kkW-yyyy-Xn-XX-QB;Ground Controller;0000;16;1681;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-QB-ES;Electronic & Signals;0000;16;1681;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-QB-SP;Power Section and auxiliaries;0000;16;1681;;FL_ELESYST;FL00000W
kkW-yyyy-Xn-XX-QN;Top Controller;0000;16;1681;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-QN-ES;Electronic & Signals;0000;16;1681;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-QN-SP;Power Section and auxiliaries;0000;16;1681;;FL_ELESYST;FL00000W
kkW-yyyy-Xn-XX-QN-MS;Monitoring systems;0000;16;1681;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-QM;Hub Controller;0000;16;1681;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-QM-ES;Electronic & Signals;0000;16;1681;;FL_CONTROL;FL00000W
kkW-yyyy-Xn-XX-QM-SP;Power Section and auxiliaries;0000;16;1681;;FL_ELESYST;FL00000W
kkW-yyyy-Xn-XX-CV;Power & Signal Cables;0000;16;1650;;FL_ELESYST;FL00000W
kkW-yyyy-Xn-XX-ST;WTG SCADA System;0000;16;1681;;FL_AUT&CON;FL00000W
